# No		1
# RA		2,3,4
# Dec		5,6,7
# Num		8
# oRA		9
# oDec		10
# V		11
# V-I		12
# B-V		13
# U-B		14
# e_V		15
# e_V-I		16
# e_B-V		17
# RA		18
# Dec		19

   37  06 08 12.19  +24 29 26.8    37  -10.091    7.861  14.106   0.680   0.530   0.271   0.007   0.029   0.010  092.050773  +24.490771 x 0
   38  06 08 12.24  +24 31 18.3    38  -10.077    9.720  15.751   1.189   1.002   0.615   0.015   0.015   0.016  092.050984  +24.521754 x 0
   39  06 08 12.37  +24 18 27.4    39  -10.063   -3.128  14.886   0.756   0.560   0.376   0.015   0.020   0.016  092.051552  +24.307622 x 0
   40  06 08 12.53  +24 22 48.9    40  -10.021    1.229  16.551   1.080   0.815   0.215   0.003   0.012   0.013  092.052216  +24.380240 x 0
   41  06 08 12.66  +24 15 49.3    41  -10.001   -5.764  16.952   1.324   1.218   1.336   0.014   0.018   0.031  092.052750  +24.263691 x 0
   42  06 08 12.64  +24 19 35.4    42  -10.000   -1.995  16.050   1.081   0.954   0.483   0.004   0.011   0.005  092.052677  +24.326507 x 0
   43  06 08 12.72  +24 14 01.4    43   -9.989   -7.562  15.699   0.786   0.595   0.280   0.005   0.017   0.011  092.053012  +24.233725 x 0
   44  06 08 12.74  +24 13 40.5    44   -9.986   -7.910  15.413   1.114   1.049   0.793   0.025   0.025   0.025  092.053076  +24.227925 x 0
   45  06 08 12.74  +24 17 47.7    45   -9.981   -3.791  15.083   0.925   0.767   0.097   0.006   0.016   0.006  092.053068  +24.296574 x 0
   46  06 08 12.86  +24 20 23.5    46   -9.950   -1.194  16.467   0.968   0.783   0.187   0.009   0.020   0.013  092.053573  +24.339858 x 0
   47  06 08 12.94  +24 17 47.4    47   -9.935   -3.795  16.594   1.276   1.046   0.597   0.028   0.028   0.040  092.053909  +24.296509 x 0
   48  06 08 13.19  +24 11 43.3    48   -9.886   -9.864  16.317   0.935   0.694   0.241   0.002   0.024   0.012  092.054950  +24.195361 x 0
   49  06 08 13.15  +24 21 20.3    49   -9.883   -0.247  16.720   0.786   0.600   0.214   0.013   0.021   0.029  092.054776  +24.355643 x 0
   50  06 08 13.21  +24 11 19.0    50   -9.881  -10.269  16.364   0.815   0.586   0.306   0.035   0.035   0.035  092.055051  +24.188611 x 0
   51  06 08 13.14  +24 28 00.1    51   -9.875    6.416  13.648   0.466   0.396   0.289   0.009   0.010   0.009  092.054763  +24.466692 x 0
   52  06 08 13.21  +24 22 03.2    52   -9.867    0.468  16.182   0.849   0.654   0.153   0.002   0.004   0.002  092.055051  +24.367560 x 0
   53  06 08 13.25  +24 18 30.2    53   -9.864   -3.082  16.511   0.863   0.708   0.314   0.007   0.012   0.009  092.055191  +24.308394 x 0
   54  06 08 13.40  +24 27 33.7    54   -9.817    5.976  16.413   0.587   0.474   0.357   0.016   0.017   0.018  092.055836  +24.459360 x 0
   55  06 08 13.83  +24 17 18.2    55   -9.732   -4.282  10.976   0.434   0.360   0.055   0.016   0.031   0.019  092.057633  +24.288396 F2 1
   56  06 08 13.78  +24 29 37.2    56   -9.729    8.034  16.408   0.864   0.637   0.249   0.026   0.027   0.026  092.057399  +24.493662 x 0
   57  06 08 13.98  +24 30 42.6    57   -9.682    9.124  16.331   1.113   0.811   0.255   0.006   0.012   0.012  092.058234  +24.511829 x 0
   58  06 08 14.13  +24 11 52.1    58   -9.671   -9.717  14.650   1.005   0.816   0.220   0.010   0.010   0.011  092.058875  +24.197815 x 0
   59  06 08 14.05  +24 30 37.6    59   -9.665    9.041  14.953   0.876   0.648   0.338   0.002   0.009   0.009  092.058547  +24.510446 x 0
   60  06 08 14.20  +24 22 33.4    60   -9.642    0.970  16.486   0.953   0.693   0.215   0.004   0.006   0.007  092.059156  +24.375931 x 0
   61  06 08 14.31  +24 27 35.2    61   -9.610    6.000  13.956   0.777   0.632   0.101   0.009   0.009   0.010  092.059626  +24.459765 x 0
   62  06 08 14.31  +24 29 12.7    62   -9.607    7.626  15.807   1.375   1.249   1.084   0.016   0.016   0.016  092.059643  +24.486864 x 0
   63  06 08 14.41  +24 14 15.1    63   -9.604   -7.335  12.988   0.553   0.450   0.195   0.006   0.006   0.007  092.060044  +24.237516 x 0
   64  06 08 14.45  +24 18 43.2    64   -9.589   -2.866  15.583   0.833   0.644   0.187   0.010   0.017   0.010  092.060215  +24.311999 x 0
